time,x,y,speed
1728237097.554376,13.071788787841797,240.83966064453125,2.847691535949707
1728237097.6043766,12.93050765991211,240.8736114501953,2.9504480361938477
1728237097.6544077,12.785595893859863,240.9075164794922,2.9962496757507324
1728237097.7045512,12.494586944580078,240.9735107421875,2.9982664585113525
1728237097.7543929,12.352251052856445,241.0030059814453,2.877138614654541
1728237097.804401,12.213655471801758,241.0274200439453,2.76967191696167
1728237097.854366,12.080924987792969,241.0515899658203,2.6536176204681396
1728237097.9043968,11.954254150390625,241.0747528076172,2.5288455486297607
1728237097.9544456,11.833052635192871,241.09556579589844,2.42203950881958
1728237098.004492,11.71646785736084,241.11642456054688,2.3473141193389893
1728237098.0545049,11.602150917053223,241.13449096679688,2.307892322540283
1728237098.1044993,11.487837791442871,241.15103149414062,2.327609062194824
1728237098.1543887,11.371448516845703,241.1698760986328,2.3980302810668945
1728237098.2043996,11.250701904296875,241.19015502929688,2.5033483505249023
1728237098.254392,11.123723983764648,241.20870971679688,2.6273341178894043
1728237098.3043916,10.989760398864746,241.2234649658203,2.7552685737609863
1728237098.3543892,10.849470138549805,241.24017333984375,2.8872392177581787
1728237098.4044254,10.703530311584473,241.25718688964844,2.982563018798828
1728237098.4544113,10.553594589233398,241.27001953125,3.0268685817718506
1728237098.5044038,10.40247917175293,241.28347778320312,3.0376696586608887
1728237098.5544057,10.252423286437988,241.29653930664062,2.996420383453369
1728237098.6044183,10.105292320251465,241.30589294433594,2.919997215270996
1728237098.6544347,9.962882041931152,241.3163299560547,2.8193767070770264
1728237098.7044048,9.825876235961914,241.324951171875,2.7017390727996826
1728237098.7544317,9.694226264953613,241.33091735839844,2.598036289215088
1728237098.804407,9.567118644714355,241.33749389648438,2.5219004154205322
1728237098.8544052,9.442886352539062,241.34153747558594,2.476531505584717
1728237098.904376,9.319319725036621,241.34320068359375,2.4847216606140137
1728237098.9543903,9.193883895874023,241.3467559814453,2.5440375804901123
1728237099.0044093,9.064569473266602,241.3486785888672,2.6328654289245605
1728237099.0543995,8.93001651763916,241.34591674804688,2.741543769836426
1728237099.1044643,8.789381980895996,241.34413146972656,2.8710503578186035
